"","X","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","asOf","mktCap","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA","Price.Sales","Price.Book","SEC.Filings"
"91",183,"XOM","Exxon Mobil Corp.","Energy","Integrated Oil & Gas","Severe",32,16,9,8,0.65,"2021-03-03",237371211776,76.07,21.37,4.0031195,1.88,89.3,76.05,326148660000,3.9052e+10,1.7701944,1.85,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM"
"92",184,"FFIV","F5 Networks","Information Technology","Communications Equipment","Negligible",18,1,11,5,0.15,"2021-03-03",11846817792,137.25,21.21,0,6.51,149.5,114.63,8744185796,629940000,4.1203604,6.86,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV"
"93",185,"FB","Facebook, Inc.","Communication Services","Interactive Media & Services","Severe",32,1,18,12,0.63,"2021-03-03",737546534912,171.58,27.9,0,5.39,195.32,132.44,523423036576,2.3624e+10,13.241967,7.08,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB"
"94",187,"FRT","Federal Realty Investment Trust","Real Estate","Retail REITs","Negligible",13,2,5,6,0.04,"2021-03-03",7793750016,108.11,18.35,3.5925992,3.5,143.79,109.74,8077368506,540767000,12.898601,3.98,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT"
"95",189,"FIS","Fidelity National Information Services","Information Technology","Data Processing & Outsourced Services","Negligible",19,0,12,7,0.17,"2021-03-03",86293454848,92.74,22.08,1.322724,1.72,103.65,77.63,32308459680,2.782e+09,4.7038417,3.25,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS"
"96",191,"FE","FirstEnergy Corp","Utilities","Electric Utilities","Severe",35,17,10,7,0.72,"2021-03-03",17822883840,30.64,11.18,4.673807,-14.49,35.22,27.93,13706075072,-5.067e+09,1.2994481,2.19,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE"
"97",193,"FISV","Fiserv Inc","Information Technology","Data Processing & Outsourced Services","Negligible",20,0,12,7,0.19,"2021-03-03",77443129344,133.05,27.32,0,4.14,144.2,106.2,26918949723,1.911e+09,6.518713,11.54,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FISV"
"98",196,"FLS","Flowserve Corporation","Industrials","Industrial Machinery","Severe",38,12,19,8,0.81,"2021-03-03",4927038464,40.82,26.17,1.8291216,1.12,51.92,37.51,5427884956,463066000,2.0803037,3.15,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS"
"99",197,"FMC","FMC Corporation","Materials","Fertilizers & Agricultural Chemicals","Severe",39,18,14,7,0.82,"2021-03-03",13649433600,80.87,32.48,0.785995,1.56,98.7,56.53,11273961835,557800000,6.0089035,5.26,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC"
"100",198,"F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","Severe",31,10,12,10,0.62,"2021-03-03",49932562432,10.43,5.89,6.7843866,1.9,13.48,10.19,42414328338,9.281e+09,0.27054095,1.26,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F"
"101",200,"FTV","Fortive Corp","Industrials","Industrial Machinery","Severe",35,15,14,6,0.75,"2021-03-03",23019388928,69.14,25.05,0.39057052,2.46,76.68,54.8844,24916503061,1508300000,5.1682673,7.17,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV"
"102",204,"BEN","Franklin Resources","Financials","Asset Management & Custody Banks","Negligible",20,1,10,8,0.2,"2021-03-03",13625691136,38,12.67,2.332657,3,47.65,37.01,21759187973,2711300000,3.399101,1.83,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN"
"103",205,"FCX","Freeport-McMoRan Inc.","Materials","Copper","Severe",38,19,13,6,0.8,"2021-03-03",51362799616,17.16,14.67,1.1198208,1.24,20.25,11.05,25853969330,5.347e+09,1.6538345,3.66,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX"
"104",206,"GPS","Gap Inc.","Consumer Discretionary","Apparel Retail","Negligible",13,1,7,6,0.05,"2021-03-03",9623766016,31.17,15.35,2.8203557,1.69,35.68,21.02,12684517721,1.959e+09,1.1289738,3.93,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPS"
"105",207,"GRMN","Garmin Ltd.","Consumer Discretionary","Consumer Electronics","Negligible",20,6,9,5,0.19,"2021-03-03",24331433984,61.13,21.23,3.2339885,2.69,64.96,48.5,11840331607,736798000,5.319881,3.14,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN"
"106",209,"GD","General Dynamics","Industrials","Aerospace & Defense","Severe",38,10,20,8,0.8,"2021-03-03",48000913408,206.05,20.71,1.5631542,9.55,229.54,181.94,64180390701,4.618e+09,2.0481362,5.45,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD"
